Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties,zoom
Welcome!,media/1NcGGriRaNWYYCRZgKnYcDZlJ9YbfjCCL.jpg,,,"Hello and welcome to the Marin County Breeding Bird Atlas story map for 2023! As new submissions come in they are added to the end of this list in the order they are recieved. As you scroll down the list you will see lots of awesome volunteer submitted photos of what they saw in their block along with a little backstory on their photo. The pins represent the center point of a survey block, they <b><u>do not</u></b> represent bird locations. All identifying information on sensitive species has been removed. Click on the photos to see them full screen. If you are a volunteer who has just made a submission it may take up to a week for the photo to show in this map, although your story should appear very quickly.",10,Hidden,blue,Welcome!,38.07294,-122.73438,,,,,10
13-20,media/1J15nUAqOGViOH0sbFsQ6D8EyPj-JG8G-.jpg,Ron Brown,,This photo is from June 9th 2022. The Black Necked Stilt on it's nest in the channel out of Shorebird marsh (the pond by the freeway) by the road to the shopping mall and path to the marsh area. Will it return to this spot in 2023?,14,Plain,blue,13-20,37.92711,-122.51563,,,,,14
12-18,media/146CFOHm0b2JiYEmsgShRx50U4xc9VBlR.jpg,David Sexton,,"Many thousands of American Avocets winter at Hamilton Wetlands, a few stay on for breeding.  The two chicks were seen on the east side of pond 6 in the panhandle on May 19, 2023.",14,Plain,blue,12-18,38.07308,-122.50804,,,,,
12-3,media/1f2cs3cyGLW1lTudrdGYy3SYUPNWhvnUU.jpeg,Kris Wiskes,,My garden attracts many breeding species. This Downy Woodpecker adult feeding it's young is a regular in my yard. The adult will try many ways to get the juvenile to figure how to find food. Very soon the juvenile will start feeding on it's own. ,14,Plain,blue,12-3,38.09377,-122.60938,,,,,
9-5,media/1NmoaVucpLPigaEBvVT5wsaX4Nq3N1ONQ.jpeg,William Wiskes,,"Awesome day out birding the east shore of Nicasio Reservoir. Found a Black Phoebe doing food carries to a nest just under the peaked gable of a barn. The juvie, shown here, was doing some flights, but appeared to prefer to stick around the nest waiting for food. Also present on the barn, but not photographed, around 20 or so active cliff swallow nests.",14,Plain,blue,9-5,38.07294,-122.73438,,,,,
9-7,media/1IZDD1UP17ffyKx2Rhr_6lKfDAEPuwBta.jpg,Bob Frank,,"It was a foggy morning, May 19, on block 9-7 when Janie's favorite birds showed up.  Six Cedar Waxwings swooped in to a big clump of English Ivy.  Two came out on a branch with an ivy berry in the bill of the bird on the right.  They passed the berry back and forth from beak to beak until on the seventh pass, the left hand bird ate the berry.   We think this was an example of courtship behavior while on migration",14,Plain,blue,9-7,38.05211,-122.73438,,,,,
11-12,media/1WeA_0LLxuUNCoOMaBVgfYstCKujZ_00a.jpg,Photo: Don Bartling   Nest discoverer: Linnea Bartling,,"This is not in my block, but just north of the boundary of my block. My daughter, Linnea, was hiking Mt.Burdell and observed the adult female Downy Woodpecker peeking out of the nest cavity while crossing a bridge over a seasonal stream. We went back later in the week and got this photo. Downy Woodpecker currently isn't listed here, so this is a new confirmed breeder for this block!",14,Plain,blue,11-12,38.13542,-122.57813,,,,,
12-19,media/1LtPmiqAKRqK228U8XPWBjJdaSvL5LbTN.jpg,Susan Kelly,,"A pair of MODOs has chosen these ladders on the side of our yard as the perfect nest site. It's shaded, protected from rain and the elements, and there are bird feeders just across the fence at our neighbors! Smart birds. The mate is always nearby, often perched on a wire across the street. Needless to say, we will have to borrow a neighbor's ladder if we need one in the next few months.",14,Plain,blue,12-19,38.05211,-122.54688,,,,,
10-1,media/1lI5lTNwr-x7m_je-H4OxrUsdw9JKQVfZ.jpg,Ron Brown,,"Around Randall House, a Brewer's Blackbird and it's begging youngster.",14,Plain,blue,10-1,37.98959,-122.73438,,,,,
10-3,media/1PshTW4hVtkdd4_R-vnkM9yXJTXVSwSsO.jpg,Ron Brown,,"Bluebird and fledgling resting together. There is a lot of breeding bird activity around the now abandoned Randall House (rare bats also inside the house I believe). Cliff Swallows in the eaves, Starlings have created cavities around the window frames (so perhaps nests inside the house) and nooks and crannies around the house, also in the dead trees of the former yard/garden, a Black Phoebe nest last year. There are always Quaill around, Purple Finch, Band Tailed Pidgeons and across the street and into the woods Black Headed Grosbeak, Thrushes and who knows what else. I believe there is active research on the Owls of the area also. It's a cool place to contemplate if you happen to be in the area.  ",14,Plain,blue,10-3,37.96877,-122.73438,,,,,
10-2,media/16FdQ-c5avyOSlaAsqhfl__9bt3XxZ8DB.jpg,Ron Brown,,This Orange-crowned Warbler came in to investigate when a pair of Wilson’s Warblers were agitated about their likely nest or fledglings present. It was in a quite remote spot of Kent Lake by Frank's Dam at the end of May this year.,14,Plain,blue,10-2,37.98959,-122.70313,,,,,
12-1,media/1V6Iyd6wKAakgyX0Lbcn-VGgtYHmIbsCt.jpg,Don Bartling,,Red-shouldered Hawk found a more secluded perch after chasing off some American Crows that had ventured too close to their nest.,14,Plain,blue,12-1,38.11459,-122.60938,,,,,
6-19,media/1DPnPSzsP7G7mPoclj9wKVyXIt6EEoY2x.jpg,MaryAnne Flett,,This story is a mystery.  What do you think is going on with this nestbox in a riparian area?,14,Plain,blue,6-19,38.05211,-122.79688,,,,,
10-10,media/11yGH5rn0Jms9ADXJTZKIMEyDP4gWprA-.jpg,Steve Howell,,"It's that time of year: when blackberries and fledglings abound, sometimes packaged together! Steve Howell, who has contributed a significant number of incidental sightings of breeding birds in the Bolinas block to the Atlas effort, captured this photo in early July 2023 that he shared with Block Leader Diana Humple.",14,Plain,blue,10-10,37.90839,-122.70484,,,,,
